Class 4,English,1,Together We Can,1,Unjumble the Words,INTERACTIVE,Drag and drop the words to make the lines of the poem.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97606/424/175"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,Together We Can,1,Multiple Choice Questions,INTERACTIVE,Choose the correct answer for each of the questions.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97604/346/338"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,Together We Can,1,True or False,INTERACTIVE,Read the statements and decide if they are true or false.,BEGINNER,IFRAME,"<iframe allow=""fullscreen; autoplay; allow-top-navigation-by-user-activation"" allowfullscreen width=""795"" height=""690"" frameborder=""0"" src=""https://www.educaplay.com/game/25380483-teamwork_true_false_quiz.html""></iframe>"
Class 4,English,1,Together We Can,1,Matching Activity,INTERACTIVE,Match the collective nouns to the correct description.,INTERMEDIATE,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97604/217/537"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,Together We Can,1,Multiple Choice Questions,INTERACTIVE,Choose the correct preposition.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97605/889/877"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,The Tinkling Bells,2,Arrange in Order,INTERACTIVE,Sort the story parts in the right order.,INTERMEDIATE,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97608/356/860"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,The Tinkling Bells,2,True or False,INTERACTIVE,Read the statements and decide if they are true or false.,BEGINNER,IFRAME,"<iframe allow=""fullscreen; autoplay; allow-top-navigation-by-user-activation"" allowfullscreen width=""795"" height=""690"" frameborder=""0"" src=""https://www.educaplay.com/game/25380485-chinna_and_tara_truth_or_lie.html""></iframe>"
Class 4,English,1,The Tinkling Bells,2,Word Search,INTERACTIVE,Find some good qualities hidden in this grid.,INTERMEDIATE,IFRAME,"<iframe allow=""fullscreen; autoplay; allow-top-navigation-by-user-activation"" allowfullscreen width=""795"" height=""690"" frameborder=""0"" src=""https://www.educaplay.com/game/25380980-virtues_word_hunt.html""></iframe>"
Class 4,English,1,The Tinkling Bells,2,Multiple Choice Questions,INTERACTIVE,Choose the correct answer after placing your bet.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97606/948/293"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,The Tinkling Bells,2,Learn the Keywords,INTERACTIVE,Match the keywords and their definitions.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97606/809/996"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,The Tinkling Bells,2,Matching Pairs,INTERACTIVE,Tap a pair of tiles and match the antonyms.,INTERMEDIATE,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97608/010/888"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,"Be Smart, Be Safe",3,True or False,INTERACTIVE,Read the statements and decide if they are true or false.,BEGINNER,IFRAME,"<iframe allow=""fullscreen; autoplay; allow-top-navigation-by-user-activation"" allowfullscreen width=""795"" height=""690"" frameborder=""0"" src=""https://www.educaplay.com/game/25380486-road_safety_true_or_false.html""></iframe>"
Class 4,English,1,"Be Smart, Be Safe",3,Learn the Keywords,INTERACTIVE,Match the keywords and their definitions.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97761/618/481"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,"Be Smart, Be Safe",3,Multiple Choice Questions,INTERACTIVE,Choose the correct answer for each of the questions.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97761/709/340"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
Class 4,English,1,"Be Smart, Be Safe",3,Matching Activity,INTERACTIVE,Match the traffic signs and their meanings.,BEGINNER,IFRAME,"<iframe style=""max-width:100%"" src=""https://wordwall.net/embed/play/97761/977/206"" width=""500"" height=""380"" frameborder=""0"" allowfullscreen></iframe>"
